Bolnr,Belnr,Country1,Refnr,IdocCreationDate,FileName
,4517997839,US,,20240306,output_20240320_000457.json
00299990009764183,5510016505,US,,20240306,output_20240320_000459.json
00299990009764695,4518076764,US,,20240306,output_20240320_000557.json
00499990002759245,4517701542,US,,20240306,output_20240320_000559.json
00299990009764299,4518084397,US,,20240306,output_20240320_000657.json
00299990009764022,4518110451,US,,20240306,output_20240320_000659.json
00299990009764480,4518096286,US,,20240306,output_20240320_000757.json
00299990009763933,4518106822,US,,20240306,output_20240320_000759.json
00299990009764527,4518104957,US,,20240306,output_20240320_000857.json
00299990009764015,4518089300,US,,20240306,output_20240320_000859.json
00299990009764541,4518092178,US,,20240306,output_20240320_000957.json
00299990009764077,4518079282,US,,20240306,output_20240320_000959.json
00299990009764459,4517738167,US,,20240306,output_20240320_001058.json
00499990002759153,4518106245,US,,20240306,output_20240320_001059.json
00299990009764671,4518112508,US,,20240306,output_20240320_001158.json
00499990002759160,4517783284,US,,20240306,output_20240320_001159.json
00299990009764350,4518113828,US,,20240306,output_20240320_001258.json
00499990002759085,4518071469,US,,20240306,output_20240320_001259.json
00299990009764510,4517696393,US,,20240306,output_20240320_001358.json
00299990009763971,4518092181,US,,20240306,output_20240320_001359.json
00299990009764602,4518107042,US,,20240306,output_20240320_001458.json
00299990009763896,4518051058,US,,20240306,output_20240320_001459.json
00299990009764367,4518102144,US,,20240306,output_20240320_001558.json
00299990009764107,4518101058,US,,20240306,output_20240320_001559.json
00299990009764664,4518099582,US,,20240306,output_20240320_001658.json
00299990009764121,4518059990,US,,20240306,output_20240320_001700.json
00299990009764640,4518100214,US,,20240306,output_20240320_001758.json
00299990009764190,4518101539,US,,20240306,output_20240320_001800.json
00299990009764350,4518077802,US,,20240306,output_20240320_001858.json
00499990002759139,4518083589,US,,20240306,output_20240320_001900.json
00299990009764664,4518102967,US,,20240306,output_20240320_001958.json
00499990002759382,4518120731,US,,20240306,output_20240320_002000.json
00299990009764343,4518076905,US,,20240306,output_20240320_002058.json
00499990002759337,4518101394,US,,20240306,output_20240320_002100.json
00299990009764404,4518067979,US,,20240306,output_20240320_002158.json
00499990002759399,4518114124,US,,20240306,output_20240320_002200.json
00299990009764343,4518111709,US,,20240306,output_20240320_002258.json
00299990009763896,4518090458,US,,20240306,output_20240320_002300.json
00299990009764633,4518093377,US,,20240306,output_20240320_002358.json
00299990009764060,4518077003,US,,20240306,output_20240320_002400.json
00299990009764510,4517783293,US,,20240306,output_20240320_002458.json
00299990009764183,5509971990,US,,20240306,output_20240320_002500.json
00299990009764558,4518081899,US,,20240306,output_20240320_002558.json
00499990002759290,4518084396,US,,20240306,output_20240320_002600.json
00299990009764268,4517679945,US,,20240306,output_20240320_002658.json
107360516503,4518102241,US,467308199,20240306,output_20240320_002701.json
00299990009764619,4518111410,US,,20240306,output_20240320_002758.json
1ZG90C400335945494,4518073893,US,,20240306,output_20240320_002801.json
00299990009764589,4518067970,US,,20240306,output_20240320_002858.json
467332429,4518092272,US,467332429,20240306,output_20240320_002901.json
00299990009764381,4518112915,US,,20240306,output_20240320_002958.json
467207306,4517197842,US,76309798062340358,20240306,output_20240320_003001.json
00299990009764657,4518086362,US,,20240306,output_20240320_003059.json
00299990009764589,4518097645,US,,20240306,output_20240320_003101.json
00299990009764244,4518086620,US,,20240306,output_20240320_003159.json
00299990009764480,4518031067,US,,20240306,output_20240320_003201.json
15058068832,4517437324,US,467319910,20240306,output_20240320_003259.json
00299990009764763,4518088533,US,,20240306,output_20240320_003301.json
3490459,4517349017,US,,20240306,output_20240320_003359.json
00299990009764275,4518095851,US,,20240306,output_20240320_003401.json
